company_name,ticker
ï»¿NBT Bancorp Inc.,NBTB
"TreeHouse Foods, Inc.",THS
FutureFuel Corp.,FF
"Genius Brands International, Inc.",GURE
IHS Markit Ltd.,
"American Public Education, Inc.",APEI
"GLG Partners, Inc.",GURE
OptimizeRx Corporation,OPRX
"Kids2, Inc.",GURE
Trillium Therapeutics Inc.,
Travelcenters of America Inc.,
"China Green Agriculture, Inc.",GURE
ASIX Electronics Corp,3169.TWO
"Independence Contract Drilling, Inc.",GURE
"Ares Dynamic Credit Allocation Fund, Inc.",ARDC
"Natural Grocers by Vitamin Cottage, Inc.",NGVC
"U.S. Silica Holdings, Inc.",GURE
"Sprouts Farmers Market, Inc.",SFM
" Scienture Holdings, Inc.",SCNX
"Sportman's Warehouse Holdings, Inc.",GURE
"Aytu BioPharma, Inc.",AYTU
Vista Outdoor Inc.,
Coupa Software Inc.,
"Blue Apron Holdings, Inc.",GURE
"LiveOne, Inc.",LVO
"Ramaco Resources, Inc.",METC
"BJ's Wholesale Club Holdings, Inc.",BJ
"Moderna, Inc.",MRNA
"Vapotherm, Inc.",GURE
"Zscaler, Inc.",ZS
"Aprea Therapeutics, Inc.",APRE
"Chewy, Inc.",CHWY
"Cortexyme, Inc.",GURE
GTY Technology Holdings Inc.,
"Neoleukin Therapeutics, Inc.",GURE
"Peloton Interactive, Inc.",PTON
"Zoom Video Communications, Inc.",ZOOM.VI
"BurgerFi International, Inc.",BFI
K-Electric Limited,
MAI Construction Inc.,
"Northeast Security Systems, Inc.",GURE
Tusk Therapeutics Ltd.,
